BREWERY[0](STRING),Type,WEBSITE[1] (STRING),STREET ADDRESS[2](STRING),CITY[3] (STRING),"STATE
[4]",ZIPCODE[5] (STRING),"PHONE[6]
(String)",DAYS CLOSED[7](String)
3rd Turn Brewing,Taproom,3rdturnbrewing.com,10408 Watterson Trail,Louisville,KY,40299,502-485-3373,MO
3rd Turn Oldham Gardens,Taproom,3rdturnbrewing.com, 6300 Old Lagrange Rd,Crestwood,KY,40014,502-482-3373,SU thru WE
Abettor Brewing Company,Taproom,abettorbeer.com,301 W. Lexington Ave,Winchester,KY,40391,859-749-9474,???
Against the Grain Brewery,Microbrewery,atgbrewery.com,401 E. Main Street,Louisville,KY,40202,502-515-0174,
Akasha Brewing Company,Taproom,akashabrewing.com,"909 E. Market Street, Ste 700",Louisville,KY,40206,502-742-7770,MO
Alexandria Brewing Company,Brewpub,alexandriabrewingcompany.com,"7926 Alexandria Pike, Ste 1",Alexandria,KY,41001,859-694-6999,MO
Apocalypse Brew Works,Taproom,apocalypsebrewworks.com,1612 Mellwood Avenue,Louisville,KY,40206,502-589-4843,
Alexander Bullitt's Brewery & BBQ,Brewpub,facebook.com/BullittsBreweryBBQ,131 North 3rd Street,Bardstown,KY,40004,502-331-6177,SU
Bircus Brewing Company,Taproom,bircus.com,322 Elm Street,Ludlow,KY,41016,859-360-7757,MO
Blue Stallion Brewing Company,Microbrewery,bluestallionbrewing.com,610 West Third Street,Lexington,KY,40508,859-608-8490,
Blue Holler Brewing,Microbrewery,facebook.com/Bluehollerbrew,1266 U.S. 31 W Bypass,Bowling Green,KY,42104,270-792-3003,
"Bluegrass Brewing Company, Arena",Brewpub,bbcbrew.com,300 West Main Street,Louisville,KY,40202,502-562-0007,
"Bluegrass Brewing Company, 4th Street",Brewpub,bbcbrew.com,654 South 4th Street,Louisville,KY,40202,502-551-5355,SU
Braxton Brewing Company,Regional,braxtonbrewing.com,27 West 7th Street,Covington,KY,41011,859-261-5600,
Braxton Brewing Labs,Microbrewery,braxtonbrewing.com,95 Riviera Drive,Bellevue,KY,41073,859-291-0036,
Braxton Barrel House,Microbrewery,braxtonbrewing.com,"2501 Dixie Highway, US 42",Fort Mitchell,KY,41017,000-000-0000,
Broken Throne Brewing,Microbrewery,brokenthronebrewing.com,121 Main Street,Pikeville,KY,41501,859-321-2754,SU thru TU
Country Boy Brewing,Microbrewery,countryboybrewing.com,436 Chair Ave,Lexington,KY,40508,859-554-6200,
Country Boy Brewing -- Georgetown,Microbrewery,countryboybrewing.com,108 Corporate Dr ,Georgetown,KY,40324,859-588-2118,
Cumberland Brews,Microbrewery,cumberlandbrews502.com,1576 Bardstown Rd,Louisville,KY,40205,502-459-4706,
Darkness Brewing,Taproom,darknessbrewing.beer,224 Fairfield Avenue,Belleville,KY,41073,859-815-8375,
DO/LOVE/LIVE Brewing,Taproom,dolovelive.com,1016 East Washington Street,Louisville,KY,40206,859-321-2754,Not Open Yet
Dreaming Creek Brewery,Taproom,dreamingcreekbrewery.beer,109 East Irvine Street,Richmond,KY,40475,859-575-7111,MO
Dry Ground Brewing Company,Taproom,drygroungbrewing.com,3121 Broadway St,Paducah,KY,42001,270-210-9296,
Dueling Barrels Brewing & Distillery,Microbrewery,duelingbarrels.com,745 Hambley Blvd,Pikeville,KY,41501,606-766-3835,SU
Ethereal Brewing,Microbrewery,etherealbrew.com,1224 Manchester Street,Lexington,KY,40504,859-309-1254,
Falls City Brewery,Microbrewery,fallscitybeer.com,901 East Liberty Street,Louisville,KY,40204,502-257-7284,
False Idol Brewery,Brewpub,falseidolbrewers.com,1025 Barret Avenue,Louisville,KY,40204,502-742-1714,
Flywheel Brewing,Taproom,flywheelbrewing.com,"218 S Mulberry Street, Ste 103",Elizabethtown,KY,42701,000-000-0000,
Fusion Brewing,Taproom,fusion-brewing.com,1170 Manchester Street,Lexington,KY,40508,859-554-8037,
